PC1,PC2,office
0.02287628047439643,-0.052124352534979,사헌부
-0.03829370411858979,-0.036181671382378,의금부
-0.1341578938424144,0.17652470967041758,사간원
0.08043890750540256,0.012309027849294305,사헌부
-0.08845016097671955,-0.061383334888869476,승정원
0.19296821847069176,-0.13387805707287945,사헌부
-0.022325842587985943,-0.056260093412225536,사헌부
-0.018734212378252613,-0.03339426803855815,사헌부
-0.03972294364608115,-0.131470741850722,사헌부
0.056671754194278307,0.011201739407521828,사헌부
0.06919986090865311,-0.054656193671273064,사헌부
-0.05201850183808228,0.07657418920046419,사간원
0.05297880729885972,-0.13742193690587337,사헌부
-0.07543609995025047,0.1230084469415816,사간원
0.17216185667358058,-0.16799267229051834,사헌부
-0.11629715864468944,-0.03840236018897805,의금부
-0.13846807980680959,0.14302085629565495,사간원
-0.08643808332998301,0.009145334410533225,의금부
-0.14648434862448226,0.20685718403355138,사간원
-0.05656834322407809,0.17614517031737367,사간원
-0.10142419249899318,-0.057305122664987884,의금부
-0.06205655125858515,0.0358767374454438,의금부
-0.01822022223169338,-0.05926292343119263,사헌부
0.06931510006161608,-0.10787652468735266,사헌부
0.04407943773578853,-0.19027009229674527,사헌부
0.14655117162133213,-0.16266915191762998,사헌부
-0.047676184834182046,0.6677091607668189,사간원
-0.07794998116089873,-0.014833697225676085,승정원
-0.20781124293812966,0.02337917017351895,의금부
-0.20781124293812966,0.02337917017351895,의금부
-0.018882559037020512,0.19804556812190602,사간원
-0.10505903903587464,0.33995645631244115,사간원
-0.047676184834182046,0.6677091607668189,사간원
0.027742199328600906,0.242764972099527,사간원
0.13514827813098101,-0.045934163531430136,사헌부
-0.03351305194480064,0.1598487851350266,승정원
-0.050036069074540945,0.06472976885241033,승정원
-0.06265164832377809,0.052272879973659536,의금부
-0.059009872089265884,-0.05662991317804426,의금부
-0.08662009616494229,0.015348300449906436,의금부
0.07449936914613191,-0.021904718715746813,사헌부
-0.05099180274048954,0.1845545052525492,사간원
0.09747722719177464,-0.07875195505725797,사헌부
0.12933268087781605,0.044274788335372,사헌부
0.04160176419298988,-0.06613692795917944,사헌부
-0.07738717110433367,0.022737161473605962,승정원
0.16025191512153894,-0.06324833968404436,사헌부
-0.053897079374693374,-0.012883195443934535,사간원
-0.00015430966937589788,0.04878821274594585,의금부
-0.13463655609255162,-0.04038011150164866,승정원
-0.08012277818027037,-0.053143258095398625,승정원
-0.08670412709882946,-0.04842645326121944,승정원
-0.06422507969694168,-0.16844500455908284,승정원
-0.10500424005731526,-0.251952494894331,승정원
0.009542119038473006,0.12447477840585572,사간원
0.8557745778160846,0.16351602191963863,사헌부
-0.04944900493124835,0.06256355027818208,사간원
-0.0541794357385009,-0.11314312183574844,승정원
-0.04470570052447829,-0.010124235112463903,승정원
-0.020857261839016546,-0.05200513186009687,의금부
0.8557745778160846,0.16351602191963863,사헌부
0.17653956678499944,-0.05618727932131015,사헌부
-0.10916427109932887,-0.044372469437281105,승정원
-0.07254732751175802,-0.04099698575122376,승정원
0.009351254001235342,0.1854023218010628,사간원
-0.05872161221494659,0.11834639883633385,사간원
0.8557745778160846,0.16351602191963863,사헌부
0.004058334709804114,0.01098696889383071,승정원
-0.05449302196707757,-0.06922036602549685,의금부
0.03318672434159281,-0.10213697553917218,의금부
-0.05116313202283005,-0.011814179132636209,사간원
-0.02823087448810574,-0.0666760443883761,승정원
-0.10500424005731526,-0.251952494894331,승정원
0.025546783354365617,-0.13281132644766272,사헌부
-0.06276830111832649,0.05058137863093086,의금부
-0.10632776414097238,0.16446085060597784,사간원
-0.03441742668243896,0.055720083621759744,사간원
-0.037608885361598086,-0.09550784965683683,사헌부
0.058817172093220314,-0.10627628752435367,사헌부
-0.07057603298732663,0.015704849303809564,승정원
-0.08216512464208507,0.08196952410826436,의금부
-0.08717441644822917,0.13847503165490285,사간원
-0.01036634127956143,0.1477421709876171,의금부
0.05937256384013771,-0.12909110535560536,사헌부
-0.01659604125325328,0.0896121614852427,사간원
0.049916635760313945,0.02904897920904988,사간원
-0.11282538241882423,-0.06821914719469983,승정원
-0.044378863505546914,-0.05561638591194978,의금부
-0.03674092073544407,0.10227316761096047,사간원
-0.11778390873212514,0.011769071090201571,승정원
-0.017674039690163394,-0.06682643737544115,의금부
-0.03781421713853352,-0.08481188740935783,승정원
-0.07755429211342672,-0.08847672555052964,승정원
-0.014461027419391205,0.03473981983658367,의금부
-0.06400066275568397,-0.0011338049266010242,의금부
0.032070637574922824,-0.12202943020667247,사헌부
0.09146314481225995,-0.10318254353893265,사헌부
-0.067761062954825,-0.005266766439739026,의금부
-0.07688829674282284,-0.07056040109398762,승정원
-0.08592240873705324,-0.04337053578739558,의금부
-0.10554386101765598,0.007100548554070533,의금부
-0.0659705727257674,0.04653444584985441,의금부
0.1206736256506349,-0.05069660461407408,사헌부
-0.06847547314219908,0.05697700166429187,사간원
-0.048855524285669624,-0.08472310024846583,의금부
-0.019236703640092646,-0.03681835122410586,승정원
-0.009776535042427023,-0.022300935345920057,승정원
-0.11365604568437099,0.08437342036862945,사간원
-0.0847166697538832,0.3325386446261682,사간원
-0.11128572963035949,0.04048855972792553,사간원
-0.03702681985444109,-0.12082410208871612,승정원
0.07767110182171875,-0.006647156763626848,사헌부
0.1226689960024534,-0.0602600205963925,사헌부
-0.06667506004528376,0.07207830093084597,사간원
-0.030259802772003574,-0.010351394490578017,의금부
-0.04001156045400282,-0.12118912932246195,사헌부
0.02739010862632435,-0.18984973857673082,사헌부
-0.03664364064220139,-0.07627139958537951,승정원
-0.053587177836923246,-0.15588927334475844,승정원
0.2168227209204111,-0.11691859740168255,사헌부
0.2332648088216962,-0.03336653972864676,사헌부
0.07222835019894655,-0.22225128773106878,사헌부
-0.025622753886789057,-0.10132333133425575,사헌부
0.04733122147516125,-0.1324557790813631,사헌부
0.018507933491720772,-0.1655493345785867,승정원
0.00017204053463744438,-0.16155317417314893,사헌부
0.0834982725004204,-0.14630752009889633,사헌부
0.006674997210527345,-0.09359339740648073,사헌부
-0.0368057909341159,0.22349826574926598,사간원
